         4250359 function calls (3961221 primitive calls) in 47.377 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       37    0.000    0.000    0.000    0.000 __init__.py:22(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:22(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:223(_releaseLock)
        1    0.000    0.000    0.000    0.000 __init__.py:225(c_byte)
        4    0.000    0.000    0.000    0.000 __init__.py:23(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:230(c_char)
        1    0.000    0.000    0.000    0.000 __init__.py:234(LogRecord)
        1    0.000    0.000    0.000    0.000 __init__.py:235(c_char_p)
        1    0.000    0.000    0.011    0.011 __init__.py:24(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:241(c_void_p)
        1    0.000    0.000    0.000    0.000 __init__.py:246(c_bool)
        1    0.000    0.000    0.000    0.000 __init__.py:251(c_wchar_p)
        1    0.000    0.000    0.000    0.000 __init__.py:256(c_wchar)
        1    0.000    0.000    0.000    0.000 __init__.py:259(_reset_cache)
        1    0.000    0.000    0.000    0.000 __init__.py:29(<module>)
        5    0.001    0.000    0.394    0.079 __init__.py:3(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:311(CDLL)
        3    0.000    0.000    0.002    0.001 __init__.py:328(__init__)
        3    0.000    0.000    0.000    0.000 __init__.py:338(_FuncPtr)
      136    0.000    0.000    0.001    0.000 __init__.py:354(__getattr__)
       44    0.003    0.000    0.053    0.001 __init__.py:356(namedtuple)
      136    0.001    0.000    0.001    0.000 __init__.py:361(__getitem__)
        1    0.000    0.000    0.000    0.000 __init__.py:367(PyDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:37(AbstractListener)
        1    0.000    0.000    0.000    0.000 __init__.py:373(PercentStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:379(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:388(StrFormatStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:397(StringTemplateStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:4(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:407(LibraryLoader)
        2    0.000    0.000    0.000    0.000 __init__.py:408(__init__)
        1    0.000    0.000    0.010    0.010 __init__.py:41(<module>)
      225    0.000    0.000    0.001    0.000 __init__.py:419(<genexpr>)
      225    0.000    0.000    0.001    0.000 __init__.py:421(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:421(Formatter)
        2    0.000    0.000    0.035    0.018 __init__.py:45(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:465(__init__)
       26    0.005    0.000    0.005    0.000 __init__.py:47(create_string_buffer)
        3    0.000    0.000    0.000    0.000 __init__.py:472(PYFUNCTYPE)
        3    0.000    0.000    0.000    0.000 __init__.py:473(CFunctionType)
      309    0.002    0.000    0.002    0.000 __init__.py:480(cast)
       18    0.001    0.000    0.001    0.000 __init__.py:484(string_at)
       26    0.000    0.000    0.000    0.000 __init__.py:516(__init__)
        7    0.000    0.000    0.000    0.000 __init__.py:536(__missing__)
        1    0.000    0.000    0.001    0.001 __init__.py:54(_ensure_llvm)
        1    0.000    0.000    0.000    0.000 __init__.py:56(StopException)
       26    0.000    0.000    0.000    0.000 __init__.py:585(update)
        1    0.000    0.000    0.000    0.000 __init__.py:594(BufferingFormatter)
        1    0.000    0.000    0.000    0.000 __init__.py:62(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:636(Filter)
        2    0.000    0.000    0.000    0.000 __init__.py:65(wrapper)
        1    0.000    0.000    0.000    0.000 __init__.py:673(Filterer)
        2    0.000    0.000    0.000    0.000 __init__.py:678(__init__)
        1    0.000    0.000    0.055    0.055 __init__.py:7(<module>)
        5    0.000    0.000    0.000    0.000 __init__.py:73(CFUNCTYPE)
        1    0.000    0.000    0.000    0.000 __init__.py:745(_addHandlerRef)
        1    0.000    0.000    0.000    0.000 __init__.py:755(Handler)
        1    0.000    0.000    0.000    0.000 __init__.py:764(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:793(createLock)
        1    0.000    0.000    0.005    0.005 __init__.py:88(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:88(stop)
        1    0.000    0.000    0.000    0.000 __init__.py:89(_ensure_pynumpy)
        6    0.000    0.000    0.000    0.000 __init__.py:92(<lambda>)
        6    0.000    0.000    0.000    0.000 __init__.py:93(<lambda>)
        1    0.000    0.000    0.000    0.000 __init__.py:944(StreamHandler)
        4    0.000    0.000    0.000    0.000 __init__.py:99(CFunctionType)
       54    0.000    0.000    0.000    0.000 _base.py:111(from_vk)
       16    0.000    0.000    0.000    0.000 _base.py:123(from_char)
        1    0.000    0.000    0.001    0.001 _base.py:146(Key)
        1    0.000    0.000    0.000    0.000 _base.py:165(Listener)
        2    0.000    0.000    0.004    0.002 _base.py:22(<module>)
        1    0.000    0.000    0.000    0.000 _base.py:285(Controller)
        1    0.000    0.000    0.000    0.000 _base.py:294(InvalidKeyException)
        1    0.000    0.000    0.000    0.000 _base.py:302(InvalidCharacterException)
        1    0.000    0.000    0.000    0.000 _base.py:32(Button)
        1    0.000    0.000    0.000    0.000 _base.py:37(KeyCode)
       70    0.000    0.000    0.000    0.000 _base.py:42(__init__)
        1    0.000    0.000    0.000    0.000 _base.py:49(Controller)
       54    0.000    0.000    0.000    0.000 _base.py:55(__repr__)
        1    0.000    0.000    0.000    0.000 _base.py:578(Listener)
        1    0.000    0.000    0.000    0.000 _base.py:603(__init__)
     1435    0.001    0.000    0.002    0.000 _base.py:66(__eq__)
       54    0.000    0.000    0.000    0.000 _base.py:74(__hash__)
        2    0.000    0.000    0.000    0.000 _bootlocale.py:23(getpreferredencoding)
        6    0.000    0.000    0.000    0.000 _collections_abc.py:657(get)
        3    0.000    0.000    0.000    0.000 _collections_abc.py:664(__contains__)
       16    0.000    0.000    0.000    0.000 _collections_abc.py:672(keys)
       35    0.000    0.000    0.000    0.000 _collections_abc.py:676(items)
       51    0.000    0.000    0.000    0.000 _collections_abc.py:698(__init__)
       67    0.000    0.000    0.000    0.000 _collections_abc.py:719(__iter__)
      941    0.002    0.000    0.011    0.000 _collections_abc.py:742(__iter__)
       20    0.000    0.000    0.000    0.000 _collections_abc.py:816(clear)
       18    0.000    0.000    0.000    0.000 _collections_abc.py:879(__iter__)
       43    0.000    0.000    0.000    0.000 _compat_pickle.py:165(<genexpr>)
       85    0.000    0.000    0.000    0.000 _compat_pickle.py:167(<genexpr>)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:9(<module>)
        1    0.000    0.000    0.000    0.000 _compression.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _compression.py:33(DecompressReader)
        1    0.000    0.000    0.000    0.000 _compression.py:9(BaseStream)
        1    0.000    0.000    0.000    0.000 _datasource.py:154(DataSource)
        1    0.000    0.000    0.000    0.000 _datasource.py:35(<module>)
        1    0.000    0.000    0.000    0.000 _datasource.py:50(_FileOpeners)
        1    0.000    0.000    0.000    0.000 _datasource.py:504(Repository)
        1    0.000    0.000    0.000    0.000 _datasource.py:74(__init__)
        1    0.000    0.000    0.000    0.000 _distributor_init.py:10(<module>)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _endian.py:23(_swapped_meta)
        1    0.000    0.000    0.000    0.000 _endian.py:46(BigEndianStructure)
        1    0.000    0.000    0.000    0.000 _globals.py:17(<module>)
        1    0.000    0.000    0.000    0.000 _globals.py:33(ModuleDeprecationWarning)
        1    0.000    0.000    0.000    0.000 _globals.py:45(VisibleDeprecationWarning)
        1    0.000    0.000    0.000    0.000 _globals.py:56(_NoValue)
        1    0.000    0.000    0.000    0.000 _import_tools.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _import_tools.py:340(PackageLoaderDebug)
        1    0.000    0.000    0.000    0.000 _import_tools.py:9(PackageLoader)
       98    0.000    0.000    0.000    0.000 _inspect.py:133(strseq)
       38    0.000    0.000    0.000    0.000 _inspect.py:142(formatargspec)
        7    0.000    0.000    0.000    0.000 _inspect.py:144(<lambda>)
        5    0.000    0.000    0.000    0.000 _inspect.py:145(<lambda>)
       60    0.000    0.000    0.000    0.000 _inspect.py:146(<lambda>)
       43    0.000    0.000    0.000    0.000 _inspect.py:15(ismethod)
       43    0.000    0.000    0.000    0.000 _inspect.py:28(isfunction)
       38    0.000    0.000    0.000    0.000 _inspect.py:43(iscode)
       38    0.000    0.000    0.000    0.000 _inspect.py:67(getargs)
        1    0.000    0.000    0.000    0.000 _inspect.py:7(<module>)
       43    0.000    0.000    0.000    0.000 _inspect.py:98(getargspec)
        1    0.000    0.000    0.000    0.000 _internal.py:198(_getintp_ctype)
        1    0.000    0.000    0.000    0.000 _internal.py:217(_missing_ctypes)
        1    0.000    0.000    0.000    0.000 _internal.py:224(_ctypes)
        1    0.000    0.000    0.018    0.018 _internal.py:6(<module>)
        1    0.000    0.000    0.000    0.000 _internal.py:631(TooHardError)
        1    0.000    0.000    0.000    0.000 _iotools.py:154(LineSplitter)
        1    0.000    0.000    0.000    0.000 _iotools.py:250(NameValidator)
        1    0.000    0.000    0.000    0.000 _iotools.py:3(<module>)
        1    0.000    0.000    0.000    0.000 _iotools.py:444(ConverterError)
        1    0.000    0.000    0.000    0.000 _iotools.py:452(ConverterLockError)
        1    0.000    0.000    0.000    0.000 _iotools.py:460(ConversionWarning)
        1    0.000    0.000    0.000    0.000 _iotools.py:473(StringConverter)
      270    0.001    0.000    0.132    0.000 _methods.py:31(_sum)
        1    0.000    0.000    0.000    0.000 _methods.py:5(<module>)
        1    0.000    0.000    0.000    0.000 _polybase.py:19(ABCPolyBase)
        1    0.000    0.000    0.000    0.000 _polybase.py:8(<module>)
        1    0.000    0.000    0.000    0.000 _utils.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _utils.py:10(NameScope)
      341    0.003    0.000    0.003    0.000 _utils.py:11(__init__)
    94597    0.080    0.000    0.080    0.000 _utils.py:15(is_used)
    50156    0.097    0.000    0.513    0.000 _utils.py:18(register)
    49860    0.179    0.000    0.392    0.000 _utils.py:26(deduplicate)
        1    0.000    0.000    0.000    0.000 _utils.py:38(_StrCaching)
165238/70035    0.315    0.000    2.216    0.000 _utils.py:40(__str__)
        1    0.000    0.000    0.000    0.000 _utils.py:48(_StringReferenceCaching)
106693/106645    0.212    0.000    0.416    0.000 _utils.py:50(get_reference)
        1    0.000    0.000    0.000    0.000 _utils.py:58(_HasMetadata)
        1    0.000    0.000    0.000    0.000 _utils.py:6(DuplicatedNameError)
     2148    0.003    0.000    0.003    0.000 _utils.py:60(set_metadata)
    40713    0.032    0.000    0.048    0.000 _utils.py:66(_stringify_metadata)
